citationCounts,ID,title,year,abstract,author
1873,braestrup_animal_1963,Animal {Dispersion} in {Relation} to {Social} {Behaviour},1963-01-01,"Wynne-Edwards has written this interesting and important book as a sequel to his earlier (1962) Animal Dispersion in Relation to Social Behaviour. Reviewing it has proven to be a valuable task for one
who normally is only at the periphery of the group selection controversy. My comments will be organized into three sections: one regarding the factual content of the book, a second attempting to
relate my own expectations and predictions based on soft selection with facts described by Wynne-Edwards, and a third criticizing the argument that has been advanced for group selection. A number of
important studies have been summarized in this book. Foremost is the extensive work on red grouse with which Wynne-Edwards has been associated for more than 30years. A great deal of ecological,
physiological, nutritional, and behavioural information regarding this bird has been reviewed in seven chapters (pp. 84-170) with additional comments liberally sprinkled elsewhere. Anyone interested
in avian biology who has missed this important study must read this book. Also extensively reviewed is the work of Michael Wade on group selection in Tribolium, the flour beetle. Wade's data are
presented in enough detail that his work can be understood by those who have not seen the original publications. [Twice (pp. 210 and 233) reference is made to a 40-fold difference between two of
Wade's selected lines, whereas the figure on p. 209 suggests that the difference is nearer 7-fold. Figure 11-16 also contains an error.] A number of other studies have been reviewed in some, but not
exhaustive, detail. Among these are Smithers and Terry's analysis of immunology in schistosomiasis, Birdsell's studies of the social structure of Australian aborigines and Sewell Wright's shifting
balance theory of evolution. Numerous other observations are cited in the text, none in so great detail as those mentioned here, and many in such rapid succession as nearly to overwhelm the reader.
Many of Wynne-Edwards' conclusions are based on densityand frequencydependent selection, territoriality and the migration of individuals between and within populations at various heirarchal levels
(in-groups, demes, populations and higher categories). Still, there is no mention of authors such as Howard Levene or Wyatt Anderson. Consequently, I feel justified in presenting","Braestrup, F. W."
200,bergh_coevolution_2003,Coevolution of economic behaviour and institutions: towards a theory of institutional change,2003-01-01,"Traditionally, economics has regarded institutions, notably norms and regulations, as ﬁxed or exogenous. Surprisingly few insights on institutional evolution from natural and social sciences have made
their way into economics. This article gives an overview of evolutionary theories of institutions in biology, sociology, anthropology and economics. These theories are subsequently compared with non-
evolutionary theories of institutions. Next, the insights and approaches are integrated into a framework for analysis of institutions based on the notion of coevolution.","Bergh, Jeroen C. J. M. van den and Stagl, Sigrid"
83,mclaren_group_2017,On {Group} {Selection} and {Wynne}-{Edwards}’ {Hypothesis},2017-01-01,"he means by which the sizes of animal populations are regulated, A or whether in fact any real regulation of numbers occurs at all, have concerned ecologiste and evolutionists for many years, and have
en gendered much controversy. Many have accepted Lack's view (1954) that the number of individuals in a population is directly limited by (and balanced with) the food supply of an environment, some
animals simply starving when the numbers have exceeded the food resources. Others have taken exception to this view, and have proposed rather that the essential control consists in preventing food
shortages by limiting pop ulation size at a level commensurate with the resources of the environ ment. This view has been championed especially by the Finnish workers Kalela (1957) and Koskimies
(1955) and has been most extensively elaborated by Wynne-Edwards in his stimulating book Animal Dispersion in Relation to Social Behavior (1962), in which he has developed a hy pothesis which
incorporates a diverse array of social behaviors within the single functional categorization of population regulation. Briefly stated, his hypothesis proposes that, while food is generally the
environmental resource which ultimately limits animal populations, free contest among individuals for food must in the long run end in over-exploitation of the resource and damage the habitat or lead
to mass starvation. This situa tion is usually avoided by the substitution of ""conventional rewards,"" such as territories, living space, social rank, etc., in place of the actual food itself.
Competition for these conventional rewards operates homeo statically, adjusting the population density at the ""optimum"" level in relation to fluctuating levels of food resources and thereby preventing
increases to densities that would cause over-exploitation and the deple tion of future yields. Many social displays are ""epidiectic,"" serving to indicate the density of individuals present in a
locality, and thus provide the feedback to adjust or restore the appropriate balance between popula tion density and consumable resources. Much of conventional competiton involves subordination of the
welfare of individuals to that of the social group to which they belong. Such mechanisms could only have arisen through a process of ""group selection,"" in which populations with the appropriate
behavioral mechanisms would regulate their density and 1 V. C. Wynne-Edwards is Regius Professor of Natural History at Marischal Col lege of the University of Aberdeen. A graduate of Oxford, he has
participated in several expeditions to the American arctic.","McLaren, Ian A. and John, A. Wiens"
342,smith_group_1976,Group {Selection},1976-01-01,"T H HE PURPOSE of this short review is to look at some recent discussions of group selection, in particular those by E. 0. Wilson (1975), D. S. Wilson (1975) and M. E. Gilpin (1975). Earlier work will
be referred to only briefly; the need for a review arises because the three references given either propose a blurring of the distinction between ""group"" and ""kin"" selection, or suggest an importance
for group selection greater than it has usually been given, or both. The first point to establish is that the argument is quantitative, not qualitative. Group selection will have evolutionary
consequences; the only question is how important these consequences have been. If there are genes which, although decreasing individual fitness, make it less likely that a group (deme or species) will
go extinct, then group extinction will influence evolution. It does not follow that the influence is important enough to play the role suggested for it by some biologists. The present phase of the
debate about group selection was opened by the publication of Wynne-Edwards' ""Animal Dispersion"" (1962), which applied to animals a concept first proposed by Carr-Saunders (1922) to explain human
population dynamics; it ascribed to group selection a major role in the evolution of population regulation. Although his thesis has had its adherents, the orthodox response from ecologists has been to
argue that the patterns of behavior he described can be explained by individual selection, and from population geneticists that the mechanism he proposes is insufficient to account for the results. It
is in the nature of science that once a position becomes orthodox it should be subjected to criticism; hence the papers by D. S. Wilson (1975), Gilpin (1975), Levin and Kilmer (1974), Gadgil (1975),
and others. It does not follow that, because a position is orthodox, it is wrong; hence this review. Is the argument important? In a recent review of E. 0. Wilson's ""Sociobiology,"" C. H. Waddington
referred to group selection as ""a fashionable topic for a rather foolish controversy."" Doubtless some foolish things have been said, but there is an important issue at stake. If group selection has
played the role suggested by Wynne-Edwards, no one can doubt its importance. But why should it be important to argue that it has not? The reason for the vehemence with which Williams (1966, 1975),
Ghiselin (1974), Lack (1966) and other opponents of group selection have argued their case is, I think, their conviction that group selection assumptions, often tacit or unconscious, have been
responsible for the failure to tackle important problems. So long as we fail to distinguish group and individual selection, or assume that an explanation in terms of advantage to the species is
adequate to account for the evolution of some behavior pattern or genetic process, without asking what is its effect on individual fitness, we shall make little progress. The extent of unconscious
group selection-","Smith, J. Maynard"
28,alcock_textbook_2003,A textbook history of animal behaviour,2003-01-01,"Abstract The history of animal behaviour research over the last 50 years has been marked by a decline in traditional ethology and an increase in the prominence of behavioural ecology. Here I examine
these changes in the discipline of animal behaviour during the past 50 years as reflected in specialized behaviour textbooks and introductory textbooks for general biology courses. Prior to 1975, all
the behaviour texts devoted far more coverage to ethological research on the proximate causes of behaviour than to research on the adaptive value of behavioural traits. After 1975, ultimate questions
about adaptation received much more attention than they had previously. The change took place because of events in the mid-1960s, including W. D. Hamilton's solution to the evolutionary puzzle of
altruism and the group selection debate involving V. C. Wynne-Edwards, G. C. Williams and D. Lack. The effect of these events was to encourage researchers to use sound adaptationist theory untainted
by species-benefit thinking. The theory helped identify many new questions about the adaptive value of behavioural traits, stimulating workers to give as much weight to these issues as had previously
been devoted to research into the physiology and development of behaviour. Although pure ethological research appeared to decline after 1975, in fact the major proximate concerns of ethology were
simply taken on by cell biologists and neurophysiologists who used tools not available to the classic ethologist. The result was the development of neuroethology, which has flourished over the years.
However, classic (pre-1975) ethological research still receives considerable coverage in many introductory biology textbooks, possibly because of the weight given these studies by W. T. Keeton in his
influential textbook. None the less, ever since the 1980s, most biology textbooks have also discussed some of the fruits of adaptationist theory, especially Hamilton's explanation for altruism,
thereby providing a more balanced treatment of proximate and ultimate issues than was once the case. Copyright 2003 The Association for the Study of Animal Behaviour. Published by Elsevier Science
Ltd. All rights reserved.","Alcock, John"
7,riechert_maynard_2013,"Maynard {Smith} \& {Parker}'s (1976) rule book for animal contests, mostly",2013-01-01,"Semantic Scholar extracted view of ""Maynard Smith \& Parker's (1976) rule book for animal contests, mostly"" by S. Riechert","Riechert, Susan E."
1,macedo_friend_2018,Friend or foe? {The} dynamics of social life,2018-01-01,"Semantic Scholar extracted view of ""Friend or foe? The dynamics of social life"" by R. Macedo et al.","Macedo, Regina H. and DuVal, Emily H."
2,leimar_game_2023,Game theory in biology: 50 years and onwards,2023-01-01,"Game theory in biology gained prominence 50 years ago, when Maynard Smith \& Price formulated the concept of an evolutionarily stable strategy (ESS). Their aim was to explain why conflicts between
animals of the same species usually are of a ‘limited war’ type, not causing serious injury. They emphasized that game theory is an alternative to previous ideas about group selection, which were used
by ethologists to explain limited aggression. Subsequently, the ESS concept was applied to many phenomena with frequency dependence in the evolutionary success of strategies, including sex allocation,
alternative mating types, contest behaviour and signalling, cooperation, and parental care. Both the analyses of signalling and cooperation were inspired by similar problems in economics and attracted
much attention in biology. Here we give a perspective on which of the ambitions in the field have been achieved, with a focus on contest behaviour and cooperation. We evaluate whether the game-
theoretical study of the evolution of cooperation has measured up to expectations in explaining the behaviour of non-human animals. We also point to potentially fruitful directions for the field, and
emphasize the importance of incorporating realistic behavioural mechanisms into models. This article is part of the theme issue ‘Half a century of evolutionary games: a synthesis of theory,
application and future directions’.","Leimar, Olof and McNamara, John M."
2,grodwohl_early_2023,The early rise and spread of evolutionary game theory: perspectives based on recollections of early workers,2023-01-01,"Though the first attempts to introduce game theory into evolutionary biology failed, new formalism by Maynard Smith and Price in 1973 had almost instant success. We use information supplied by early
workers to analyse how and why evolutionary game theory (EGT) spread so rapidly in its earliest years. EGT was a major tool for the rapidly expanding discipline of behavioural ecology in the 1970s;
each catalysed the other. The first models were applied to animal contests, and early workers sought to improve their biological reality to compare predictions with observations. Furthermore, it was
quickly realized that EGT provided a general evolutionary modelling method; not only was it swiftly applied to diverse phenotypic adaptations in evolutionary biology, it also attracted researchers
from other disciplines such as mathematics and economics, for which game theory was first devised. Lastly, we pay attention to exchanges with population geneticists, considering tensions between the
two modelling methods, as well as efforts to bring them closer. This article is part of the theme issue ‘Half a century of evolutionary games: a synthesis of theory, application and future
directions’.","Grodwohl, Jean-Baptiste and Parker, Geoff A."
0,veit_evolutionary_2023,Evolutionary {Game} {Theory} and {Interdisciplinary} {Integration},2023-01-01,": Interdisciplinary research is becoming more and more popular. Many funding bodies encourage interdisciplinarity, as a criterion that promises scientific progress. Traditionally this has been linked
to the idea of integrating or unifying disciplines. Using evolutionary game theory as a case study, Till Grüne-Yanoff (2016) argued that there is no such necessary link between interdisciplinary
success and integration. Contrary to this, this paper argues that evolutionary game theory is a genuine case of successful integration between economics and biology, shedding lights on the many
dimensions along which integration can take place.","Veit, Walter Friedrich"
0,goldsmith_mammal_2022,Mammal {Aging} is {Controlled} by an {Evolvability}-{Based} {Adaptive} {Program},2022-01-01,"As recently as in 2002 gerontologists widely thought that an aging program that purposely caused aging in mammals was impossible and therefore scientifically ridiculous because it violated widely
accepted concepts regarding the nature of the evolution process. However, a number of modern evolutionary mechanics concepts such as group selection and evolvability suggest that an individually
adverse trait like aging can evolve if it creates an advantage (reduced probability of extinction) for a population. Genetics discoveries suggest that aging creates multiple population advantages and,
therefore, aging programs that purposely cause and regulate aging evolved in mammals. This led to various concepts regarding the nature of the program. One such concept is that aging is a completely
genetically specified function of age, essentially a biological clock. However, this article presents evidence and theoretical basis for the idea that the programmed aging function is controlled by an
adaptive mechanism that can sense local or temporary conditions that affect the optimum aging function and adjust it to compensate for those conditions. This issue is important for medical research
because the sensing mechanisms and associated signaling provide additional points at which intervention in the aging process and associated highly age-related diseases could be attempted.","Goldsmith, Theodore C."
0,gontier_reticulate_2023,Reticulate evolution underlies synergistic trait formation in human communities,2023-01-01,"This paper investigates how reticulate evolution contributes to a better understanding of human sociocultural evolution in general, and community formation in particular. Reticulate evolution is
evolution as it occurs by means of symbiosis, symbiogenesis, lateral gene transfer, infective heredity, and hybridization. From these mechanisms and processes, we mainly zoom in on symbiosis and we
investigate how it underlies the rise of (1) human, plant, animal, and machine interactions typical of agriculture, animal husbandry, farming, and industrialization; (2) diet‐microbiome relationships;
and (3) host‐virome and other pathogen interactions that underlie human health and disease. We demonstrate that reticulate evolution necessitates an understanding of behavioral and cultural evolution
at a community level, where reticulate causal processes underlie the rise of synergistic organizational traits.","Gontier, Nathalie and Sukhoverkhov, Anton"
0,guerand_global_2022,Global smooth solutions for triangular reaction-cross diffusion systems,2022-01-01,"For a class of reaction cross-diffusion systems of two equations with a crossdiffusion term in the first equation and with self-diffusion terms, we prove that the unique local smooth solution given by
Amann theorem is actually global. This class of systems arises in Population dynamics, and extends the triangular Shigesada-Kawasaki-Teramoto system when general power-laws growth are considered in
the reaction and diffusion rates.","Guerand, Jessica and Menegaki, A. and Trescases, A."
0,wang_evolution_2022,The evolution of cooperation: an evolutionary advantage of individuals impedes the evolution of the population,2022-01-01,"Range expansion is a universal process in biological systems, and therefore plays a part in biological evolution. Using a quantitative individual-based method based on the stochastic process, we
identify that enhancing the inherent self-proliferation advantage of cooperators relative to defectors is a more effective channel to promote the evolution of cooperation in range expansion than
weakening the benefit acquisition of defectors from cooperators. With this self-proliferation advantage, cooperators can rapidly colonize virgin space and establish spatial segregation more readily,
which acts like a protective shield to further promote the evolution of cooperation in return. We also show that lower cell density and migration rate have a positive effect on the competition of
cooperators with defectors. Biological evolution is based on competition between individuals and should therefore favor selfish behaviors. However, we observe a counterintuitive phenomenon that the
evolution of a population is impeded by the fitness-enhancing chemotactic movement of individuals. This highlights a conflict between the interests of the individual and the population. The short-
sighted selfish behavior of individuals may not be that favored in the competition between populations. Such information provides important implications for the handling of cooperation.","Wang, Xiaoliang and Harrison, Andrew"
2,witting_selection-regulated_2021,On selection-regulated population dynamics in birds and mammals,2021-01-01,"Abstract  I use the North American Breeding Bird Survey (Sauer et al. 2017) to construct 462 population trajectories with about 50 yearly abundance estimates each. Applying AIC model-selection, I find
that selection-regulated population dynamics is 25, 000 (95\%:0.42–1.7 e 17) times more probable than density-regulated growth. Selection is essential in 94\% of the best models explaining 82\% of the
population dynamics variance across the North American continent. Similar results are obtained for 111, 215, and 420 populations of British birds (BTO 2020), Danish birds (DOF 2020), and birds and
mammals in the Global Population Dynamic Database (GPDD 2010).  The traditional paradigm—that the population dynamic growth rate is a function of the environment, with maximal per-capita growth at low
population densities, and sub-optimal reproduction from famine at carrying capacities with strong competition for limited resources—is not supported. Selection regulation generates a new paradigm
where the world is green and individuals are selected to survive and reproduce at optimal levels at population dynamic equilibria with sufficient resources. It is only the acceleration of the
population dynamic growth rate, and not the growth rate itself, that is determined by the density-dependent environment, with maximal growth occurring at the densities of the population dynamic
equilibrium.","Witting, Lars"
2,liu_gut_2022,"Gut microbiota reflect the crowding stress of space shortage, physical and non-physical contact in {Brandt}’s voles ({Lasiopodomys} brandtii)",2022-01-01,"Semantic Scholar extracted view of ""Gut microbiota reflect the crowding stress of space shortage, physical and non-physical contact in Brandt's voles (Lasiopodomys brandtii)."" by Jing Liu et al.","Liu, Jing and Huang, Shuli and Zhang, Xin and Li, Guoliang and Batsuren, Erdenetuya and Lu, Wei and Xu, Xiaoming and He, Chen and Song, Yiran and Zhang, Zhibin"
0,raha_lipids_2022,Lipids in {Porcupine} {Quills} as {Putative} {Sources} of {Communicatory} {Signals},2022-01-01,"Specialized scent glands associated with modified epidermal hairs such as quills and spines serve as a putative source of pheromone in many mammals. Detailed observation and analysis of modified hairs
as a putative source of communicatory signals is very limited. The present study was undertaken to search for the role of specialized modified epidermal structures like quills as a source of chemical
communication in two species of porcupine (Hystrix indica and Hystrix brachyura). The lipid profiles of these modified epidermal structures were analysed with the aid of High Performance Thin Layer
Chromatography and Gas Chromatography Mass Spectrometry. Lipid profile of all the individuals of the two species of porcupine was dominated by the presence of free fatty acids and cholesterol. The
fatty acid composition of total lipid shows the presence of both low and high carbon saturated fatty acids along with monounsaturates and polyunsaturates. The presence of an appreciable amount of
polyunsaturates in these tissues is significant for generation of signaling molecules. The identified fatty acids of the quills were also quantitated and the quantitative variation of the different
fatty acids may act as a ‘signature of identity’, a prerequisite for pheromonal molecules. It is hypothesized that low carbon fatty acids of these epidermal lipids are directly taking part in chemical
communication and high carbon fatty acids are acting as fixatives for lengthening the duration of volatility.","Raha, Paramaa"
8,rolla_bringing_2021,"Bringing forth a world, literally",2021-01-01,"Our objective in this paper is twofold: first, we intend to address the tenability of the enactivist middle way between realism and idealism, as it is proposed in The Embodied Mind. We do so by taking
the enactivist conception of bringing forth a world literally in three conceptual levels: enaction, niche construction and social construction. Based on this proposal, we claim that enactivism is
compatible with the idea of an independent reality without committing to the claim that organisms have cognitive access to a world composed of properties specified prior to any cognitive activity. Our
second goal is to show that our literal interpretation of bringing forth a world not only sustains the legitimacy of the middle way, but it also allows us to revive the conception of evolution as
natural drift—which is perhaps the least examined aspect of the original enactivist theory and is central to the understanding of cognition in an enactive way. Natural drift focuses on how structural
couplings between organism and environment trigger viable pathways of maintenance and reproduction, instead of selecting the most adapted trait to a pregiven environment. Thus, although enactivists
typically do not explore the consequences of their views regarding evolutionary dynamics, we show how natural drift provides a suitable starting point.","Rolla, Giovanni and Figueiredo, Nara"
0,delord_beyond_2021,Beyond the limit: carrying capacity ({K}) and the holism/reductionism debate,2021-01-01,"As the debate about holism and reductionism in ecology has ebbed in the last twenty years, this article aims to reassess the traditional opposition between holistic and reductionist epistemologies
during the development of population biology. The history of the notion of carrying capacity, the upper demographic limit of a viable population, will be analyzed as a paradigmatic case of the
progressive imposition of reductionist strategies, from both an epistemological and a semantic point of view, since the middle of the twentieth century. Then, Richard Looijen’s reduction of the
carrying capacity concept to the niche partitioning theory will be assessed and rebuked for both empirical and logical reasons. Eventually, some recent “weak” and “hard” emergent conceptualizations of
the notion of carrying capacity, in logistic map models or in coupled niche-population systems, will be presented in order to show how they call into question the nature and the use of the notion of
carrying capacity as a predefined ecological limit.","Delord, Julien"
1,akassou_intrasexual_2021,Intrasexual {Vibrational} {Behavior} of {Philaenus} spumarius in {Semi}-{Field} {Conditions},2021-01-01,"Insects that communicate by vibrational signals live in a complex interactive network of communication. Most studies on insect intrasexual behavior, based on plant-borne vibrational signals, have
targeted few individuals. Despite their importance, behaviors that occur within groups were often overlooked. The study of multiple individuals, when insects occur in high density could simulate the
environment in which they live and provide more reliable information on their behavior. In semi-field conditions, we investigated the intrasexual behavior of the meadow spittlebug, Philaenus
spumarius. Vibrational signals exchanged among individuals of the same sex were recorded throughout their adult stage, from late spring to early autumn, and during the day, from the morning to the
evening using a laser vibrometer. Males were less active than females throughout the season and their interactions were less frequent compared to females. Intrasexual interactions were characterized
by signal overlapping in both unisex groups, in addition to signal alternating only in the case of males. In conclusion, the study of signaling behavior in intrasexual groups contributed to a better
understanding of P. spumarius social behavior. We discuss the hypothesis of a possible competitive behavior between males and cooperative behavior between females.","Akassou, Imane and Avosani, Sabina and Caorsi, Valentina and Verrastro, Vincenzo and Ciolli, Marco and Mazzoni, Valerio"
3,vuorinen_why_2021,Why don't all species overexploit?,2021-01-01,"Semantic Scholar extracted view of ""Why don't all species overexploit?"" by K. Vuorinen et al.","Vuorinen, Katariina E. M. and Oksanen, Tarja and Oksanen, Lauri and Vuorisalo, Timo and Speed, James D. M."
0,gontier_plurality_2021,The {Plurality} of {Evolutionary} {Worldviews},2021-01-01,"Evolutionary biologists, evolutionary epistemologists, and biosemioticians have demonstrated that organisms not merely adapt to an external world, but that they actively construct their environmental,
sociocultural, and cognitive niches. Denis Noble demonstrates that such is no different for those organisms that engage in science, and he lays bare several crucial assumptions that define the
scientific dogmas and practices of evolutionary biology.","Gontier, Nathalie"
0,huang_population_2021,Population variation alters aggression-associated oxytocin and vasopressin expressions in brains of {Brandt}’s voles in field conditions,2021-01-01,"Abstract Density-dependent change in aggressive behavior contributes to the population regulation of many small rodents, but the underlying neurological mechanisms have not been examined in field
conditions. We hypothesized that crowding stress and aggression-associated oxytocin (OT) and arginine vasopressin (AVP) in specific regions of the brain may be closely related to aggressive behaviors
and population changes of small rodents. We analyzed the association of OT and AVP expression, aggressive behavior, and population density of Brandt’s voles in 24 large semi-natural enclosures
(0.48 ha each) in Inner Mongolia grassland. We tested the effects of population density on the OT/AVP system and aggressive behavior by experimentally manipulating populations of Brandt’s voles in the
grassland enclosures. High density was positively and significantly associated with more aggressive behavior, and increased expression of mRNA and protein of AVP and its receptor, but decreased
expression of mRNA and protein of OT and its receptor in specific brain regions of the voles. Our study suggests that changes in OT/AVP expression are likely a result of the increased psychosocial
stress that these voles experience during overcrowding, and thus the OT/AVP system can be used as indicators of density-dependent stressors in Brandt’s voles.","Huang, Shuli and Li, Guoliang and Pan, Yongliang and Liu, Jing and Zhao, Jidong and Zhang, Xin and Lu, Wei and Wan, Xinrong and Krebs, Charles J. and Wang, Zuoxin and Han, Wenxuan and Zhang, Zhibin"
5,lundblad_ashmoles_2021,Ashmole's hypothesis and the latitudinal gradient in clutch size,2021-01-01,"One enduring priority for ecologists has been to understand the cause(s) of variation in reproductive effort among species and localities. Avian clutch size generally increases with increasing
latitude, both within and across species, but the mechanism(s) driving that pattern continue to generate hypotheses and debate. In 1961, a Ph.D. student at Oxford University, N. Philip Ashmole,
proposed the influential hypothesis that clutch size varies in direct proportion to the seasonality of resources available to a population. Ashmole's hypothesis has been widely cited and discussed in
the ecological literature. However, misinterpretation and confusion has been common regarding the mechanism that underlies Ashmole's hypothesis and the testable predictions it generates. We review the
development of well‐known hypotheses to explain clutch size variation with an emphasis on Ashmole's hypothesis. We then discuss and clarify sources of confusion about Ashmole's hypothesis in the
literature, summarise existing evidence in support and refutation of the hypothesis, and suggest some under‐utilised and novel approaches to test Ashmole's hypothesis and gain an improved
understanding of the mechanisms responsible for variation in avian clutch size and fecundity, and life‐history evolution in general.","Lundblad, Carl G. and Conway, Courtney J."
